Count: 252, Range: 2025-04-24 to 2026-04-24

=== GLD Daily Historical Prices - Past 365 Days ===
Open (oldest): $306.98
Close (latest): $433.54
52-Week High: $509.70
52-Week Low: $291.78
Avg Daily Volume: 13,750,224
Daily Return Std Dev: 1.71%
Annualized Volatility: 27.20%
Avg Daily Return: 0.1510%
Period Return: 40.73%

--- CSV Data ---
Date,Open,High,Low,Close,Volume
2025-06-09,305.39,307.61,305.06,306.62,7159036
2025-06-10,308.31,308.6,305.87,306.71,7071702
2025-06-11,307.5,308.62,305.85,308.37,9248800
2025-06-12,311.74,313.1,311.15,312.2,11531407
2025-06-13,317.26,317.6,315.04,316.29,16592949
2025-06-16,314.8,314.87,311.65,311.78,12848440
2025-06-17,312.66,313,310.12,311.94,8234115
2025-06-18,312.89,312.98,309.86,310.26,9370800
2025-06-20,309.33,310.89,309.25,310.13,8794711
2025-06-23,310.34,312.67,310.31,311.08,12687916
2025-06-24,305.07,306.34,303.54,306.19,12035200
2025-06-25,305.31,307.36,305.12,307.12,6733200
2025-06-26,305.77,307.28,304.86,306.78,6787517
2025-06-27,300.03,302.36,299.89,301.22,13301308
2025-06-30,302.39,304.92,301.95,304.83,8192100
2025-07-01,308.56,309,307.36,307.55,9335647
2025-07-02,308.04,309.4,306.96,309.25,8316400
2025-07-03,307.05,307.57,306.15,307.14,5275838
2025-07-07,305.07,307.71,304.53,307.37,7351641
2025-07-08,306.3,306.45,302.77,304.16,11840545
2025-07-09,303.58,305.54,303.23,305.52,10644100
2025-07-10,306.11,306.51,304.82,306.2,7059561
2025-07-11,308.86,310.28,308.52,309.14,9187302
2025-07-14,309.07,309.38,307.73,308.01,5772900
2025-07-15,307.73,308.74,305.79,306.73,8149008
2025-07-16,307.11,311.09,305.73,308.26,17693100
2025-07-17,305.5,307.67,305.12,307.59,6642300
2025-07-18,309.24,309.37,308.32,308.39,5574300
2025-07-21,311.88,313.31,311.61,313.13,10995800
2025-07-22,314.48,316.24,313.62,316.1,13691849
2025-07-23,314,314.96,311.42,312.18,10547520
2025-07-24,309.29,310.99,309.06,310.27,7698800
2025-07-25,307.82,308.31,306.2,307.4,9376400
2025-07-28,306.44,306.58,304.05,305.41,9275440
2025-07-29,305.8,307.03,304.99,306.25,5741114
2025-07-30,304.42,304.65,300.96,300.96,13459600
2025-07-31,304.59,304.61,302.86,302.96,8981000
2025-08-01,308.61,309.55,307.45,309.11,12843400
2025-08-04,310.8,311.74,310.37,310.91,7639030
2025-08-05,310.37,312.24,310.22,311.16,6997700
2025-08-06,310.32,311.24,309.84,310.5,7418200
2025-08-07,311.72,313.14,310.7,313.12,10891500
2025-08-08,312.35,313.53,311,313.05,19886802
2025-08-11,308.62,309.66,307.63,308.55,10326704
2025-08-12,308.22,309.31,306.71,308.27,9701725
2025-08-13,309.1,310.39,308.45,309.21,4718600
2025-08-14,307.93,308.34,306.52,307.25,5817726
