date,open,high,low,close,volume
2021-11-10,66.62,67.16,66.56,67.1,12916600
2021-11-11,67.06,67.1,66.34,66.7,7873715
2021-11-12,66.68,66.84,66.36,66.66,9089539
2021-11-15,66.94,67.56,66.8,67.54,9501900
2021-11-16,67.56,67.7,67.16,67.2,6606700
2021-11-17,67.06,67.38,66.7,67.28,9500942
2021-11-18,67.16,67.3,66.7,66.92,7652841
2021-11-19,67.02,67.46,66.84,67.3,10303126
2021-11-22,67.26,68.06,67.06,67.7,11577006
2021-11-23,67.7,68.18,67.38,67.78,9520349
2021-11-24,67.76,67.96,67.4,67.82,7965800
2021-11-26,67.34,67.78,66.6,66.76,10927300
2021-11-29,67.28,67.94,66.74,67.76,11411138
2021-11-30,67.44,67.44,65.7,65.78,24311500
2021-12-01,66.2,67.48,65.84,65.9,23012358
2021-12-02,66.06,67.34,66.06,66.74,17525101
2021-12-03,67.06,67.42,66.08,67.4,21385733
2021-12-06,67.84,69.14,67.82,68.44,23611000
2021-12-07,68.44,69.1,68.26,68.94,10894513
2021-12-08,69,69.34,68.5,68.88,12997248
2021-12-09,69.04,69.16,68.32,68.78,11891860
2021-12-10,69.06,69.48,68.8,69.16,11702008
2021-12-13,69.08,70.34,69.08,70,13750147
2021-12-14,69.98,70.14,69.26,69.58,17502693
2021-12-15,69.5,70.78,69.5,70.72,22682461
2021-12-16,70.66,71.52,70.6,71.08,15104625
2021-12-17,70.82,71.16,69.86,70.02,21837076
2021-12-20,68.8,69.6,68.24,69.54,15045766
2021-12-21,69.76,70.2,69.06,69.44,16177936
2021-12-22,69.32,69.84,69.22,69.74,9483900
2021-12-23,69.78,70.08,69.64,69.72,7252838
2021-12-27,69.76,70.06,69.54,70.06,7853700
2021-12-28,70.16,70.7,70.12,70.7,8052724
2021-12-29,70.78,71.18,70.66,71.06,6877849
2021-12-30,71.26,71.4,70.82,71.34,9336214
2021-12-31,71.18,71.84,71.04,71.58,9309400
2022-01-03,71.56,71.56,70.06,70.88,21649843
2022-01-04,70.88,71.56,70.64,70.66,14661086
2022-01-05,70.6,71.4,70.54,70.62,22243223
2022-01-06,70.62,70.9,69.8,69.88,18129909
2022-01-07,69.74,70.76,69.3,70.42,19636027
2022-01-10,70.34,70.46,69.6,69.96,15585002
2022-01-11,69.9,70.16,68.86,69.32,16826900
2022-01-12,69.1,69.72,68.9,69.54,14056800
2022-01-13,69.52,70.16,69.48,69.88,16974500
2022-01-14,69.88,70.02,69.06,69.4,16273792
2022-01-18,68.9,69.02,68.04,68.56,17767514
2022-01-19,68.6,69.48,68.56,68.88,16025789
2022-01-20,69.1,69.98,68.9,68.98,14764809
2022-01-21,69.32,69.68,68.7,68.84,24271460
